Rec,Time,P1,P2
0.967,637,0.963641086,0.997363553
0.968,638,0.963749063,0.997377717
0.968,639,0.963856648,0.997391792
0.968,640,0.963963841,0.997405781
0.968,641,0.964070645,0.997419682
0.968,642,0.964177061,0.997433498
0.968,643,0.964283092,0.997447228
0.968,644,0.964388738,0.997460874
0.968,645,0.964494001,0.997474435
0.968,646,0.964598883,0.997487913
0.968,647,0.964703386,0.997501307
0.968,648,0.964807511,0.99751462
0.968,649,0.964911261,0.99752785
0.968,650,0.965014635,0.997540999
0.968,651,0.965117637,0.997554067
0.969,652,0.965220268,0.997567055
0.97,653,0.965322528,0.997579964
0.971,654,0.965424421,0.997592793
0.972,655,0.965525947,0.997605544
0.972,656,0.965627109,0.997618217
0.973,657,0.965727907,0.997630812
0.973,658,0.965828343,0.997643331
0.974,659,0.965928418,0.997655773
0.974,660,0.966028135,0.99766814
0.974,661,0.966127495,0.997680431
0.974,662,0.9662265,0.997692647
0.974,663,0.96632515,0.997704789
0.974,664,0.966423447,0.997716858
0.974,665,0.966521393,0.997728853
0.974,666,0.96661899,0.997740775
0.974,667,0.966716238,0.997752625
0.974,668,0.96681314,0.997764404
0.975,669,0.966909696,0.997776111
0.975,670,0.967005909,0.997787748
0.975,671,0.967101779,0.997799314
0.976,672,0.967197309,0.99781081
0.976,673,0.967292499,0.997822238
0.976,674,0.967387351,0.997833596
0.976,675,0.967481867,0.997844886
0.976,676,0.967576048,0.997856108
0.977,677,0.967669894,0.997867263
0.977,678,0.967763409,0.997878351
0.977,679,0.967856593,0.997889372
0.978,680,0.967949447,0.997900327
0.978,681,0.968041973,0.997911217
0.978,682,0.968134173,0.997922041
0.978,683,0.968226047,0.997932801
0.978,684,0.968317597,0.997943496
0.978,685,0.968408824,0.997954128
0.978,686,0.96849973,0.997964696
0.978,687,0.968590317,0.997975202
0.978,688,0.968680584,0.997985645
0.978,689,0.968770535,0.997996025
0.978,690,0.96886017,0.998006344
0.978,691,0.96894949,0.998016602
0.978,692,0.969038496,0.998026799
0.978,693,0.969127191,0.998036935
0.979,694,0.969215575,0.998047011
0.979,695,0.96930365,0.998057028
0.98,696,0.969391417,0.998066986
0.98,697,0.969478877,0.998076884
