Rec,Time,P1,P2
0.979,595,0.9989232,0.971701463
0.979,596,0.99893006,0.971806069
0.979,597,0.99893687,0.971910214
0.979,598,0.998943629,0.972013901
0.979,599,0.998950339,0.972117132
0.98,600,0.998957,0.972219909
0.98,601,0.998963612,0.972322235
0.98,602,0.998970176,0.972424111
0.98,603,0.998976692,0.972525541
0.98,604,0.998983161,0.972626527
0.98,605,0.998989583,0.97272707
0.98,606,0.998995957,0.972827174
0.98,607,0.999002286,0.97292684
0.98,608,0.999008569,0.973026071
0.98,609,0.999014806,0.973124869
0.98,610,0.999020998,0.973223235
0.98,611,0.999027145,0.973321174
0.98,612,0.999033247,0.973418685
0.98,613,0.999039306,0.973515773
0.98,614,0.999045321,0.973612438
0.98,615,0.999051292,0.973708684
0.98,616,0.999057221,0.973804512
0.98,617,0.999063107,0.973899924
0.98,618,0.99906895,0.973994922
0.98,619,0.999074752,0.97408951
0.98,620,0.999080512,0.974183687
0.98,621,0.999086231,0.974277458
0.98,622,0.999091908,0.974370823
0.98,623,0.999097546,0.974463786
0.98,624,0.999103143,0.974556347
0.98,625,0.9991087,0.974648509
0.98,626,0.999114217,0.974740274
0.98,627,0.999119695,0.974831644
0.98,628,0.999125134,0.974922622
0.98,629,0.999130535,0.975013208
0.98,630,0.999135897,0.975103405
0.98,631,0.999141221,0.975193215
0.98,632,0.999146507,0.97528264
0.98,633,0.999151756,0.975371681
0.98,634,0.999156968,0.975460342
0.98,635,0.999162143,0.975548623
0.98,636,0.999167281,0.975636526
0.98,637,0.999172383,0.975724055
0.98,638,0.99917745,0.975811209
0.98,639,0.99918248,0.975897992
0.98,640,0.999187475,0.975984404
0.98,641,0.999192435,0.976070449
0.98,642,0.999197361,0.976156127
0.98,643,0.999202251,0.976241441
0.98,644,0.999207108,0.976326392
0.981,645,0.99921193,0.976410983
0.981,646,0.999216719,0.976495215
0.981,647,0.999221474,0.976579089
0.981,648,0.999226196,0.976662608
0.981,649,0.999230885,0.976745773
0.981,650,0.999235542,0.976828586
0.981,651,0.999240166,0.97691105
0.981,652,0.999244758,0.976993164
0.981,653,0.999249318,0.977074933
0.982,654,0.999253846,0.977156356
0.982,655,0.999258343,0.977237435
0.982,656,0.999262809,0.977318174
0.982,657,0.999267244,0.977398572
0.982,658,0.999271648,0.977478632
0.982,659,0.999276022,0.977558356
0.982,660,0.999280366,0.977637745
0.982,661,0.999284679,0.9777168
0.982,662,0.999288963,0.977795524
0.982,663,0.999293218,0.977873918
0.982,664,0.999297443,0.977951983
0.982,665,0.999301639,0.978029722
0.982,666,0.999305807,0.978107136
0.982,667,0.999309946,0.978184226
0.982,668,0.999314056,0.978260994
0.982,669,0.999318139,0.978337442
0.982,670,0.999322193,0.978413571
0.983,671,0.99932622,0.978489382
0.983,672,0.999330219,0.978564878
0.983,673,0.999334191,0.97864006
0.983,674,0.999338136,0.978714929
0.983,675,0.999342054,0.978789487
0.983,676,0.999345946,0.978863736
0.983,677,0.999349811,0.978937676
0.983,678,0.99935365,0.979011309
0.983,679,0.999357463,0.979084638
0.983,680,0.99936125,0.979157663
0.983,681,0.999365011,0.979230385
0.983,682,0.999368747,0.979302807
0.983,683,0.999372458,0.97937493
0.983,684,0.999376143,0.979446755
0.983,685,0.999379804,0.979518284
0.983,686,0.99938344,0.979589517
0.983,687,0.999387052,0.979660457
0.983,688,0.999390639,0.979731105
0.983,689,0.999394202,0.979801462
0.983,690,0.999397742,0.97987153
0.983,691,0.999401257,0.97994131
0.983,692,0.999404749,0.980010804
0.983,693,0.999408218,0.980080012
0.983,694,0.999411664,0.980148937
